	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(21, {)	{[block -> {.define_stmts stmts }, $/int/short/long/char/float/double/void/unsigned]}	26	{[block -> {.define_stmts stmts }, $/int/short/long/char/float/double/void/unsigned]; [define_stmts -> .define_stmt define_stmts, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [define_stmts -> .$, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [define_stmt -> .type id init vars ;, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(22, arg)	{[args -> type id arg., )]}	27	{[args -> type id arg., )]}
goto(22, ,)	{[arg -> ,.type id arg, )]}	28	{[arg -> ,.type id arg, )]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(22, $)	{[arg -> $., )]}	29	{[arg -> $., )]}
goto(26, define_stmts)	{[block -> { define_stmts.stmts }, $/int/short/long/char/float/double/void/unsigned]}	30	{[block -> { define_stmts.stmts }, $/int/short/long/char/float/double/void/unsigned]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(26, define_stmt)	{[define_stmts -> define_stmt.define_stmts, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	31	{[define_stmts -> define_stmt.define_stmts, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [define_stmts -> .define_stmt define_stmts, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [define_stmts -> .$, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [define_stmt -> .type id init vars ;, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(26, $)	{[define_stmts -> $., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	32	{[define_stmts -> $., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(26, type)	{[define_stmt -> type.id init vars ;, $/int/short/long/char/float/double/void/unsigned]}	33	{[define_stmt -> type.id init vars ;, $/int/short/long/char/float/double/void/unsigned]}
goto(26, int)	{[type -> int., id]}	3	 
goto(26, short)	{[type -> short., id]}	4	 
goto(26, long)	{[type -> long., id]}	5	 
goto(26, char)	{[type -> char., id]}	6	 
goto(26, float)	{[type -> float., id]}	7	 
goto(26, double)	{[type -> double., id]}	8	 
goto(26, void)	{[type -> void., id]}	9	 
goto(26, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(28, type)	{[arg -> , type.id arg, )]}	34	{[arg -> , type.id arg, )]}
goto(28, int)	{[type -> int., id]}	3	 
goto(28, short)	{[type -> short., id]}	4	 
goto(28, long)	{[type -> long., id]}	5	 
goto(28, char)	{[type -> char., id]}	6	 
goto(28, float)	{[type -> float., id]}	7	 
goto(28, double)	{[type -> double., id]}	8	 
goto(28, void)	{[type -> void., id]}	9	 
goto(28, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(30, stmts)	{[block -> { define_stmts stmts.}, $/int/short/long/char/float/double/void/unsigned]}	35	{[block -> { define_stmts stmts.}, $/int/short/long/char/float/double/void/unsigned]}
goto(30, stmt)	{[stmts -> stmt.stmts, }]}	36	{[stmts -> stmt.stmts, }]; [stmts -> .stmt stmts, }]; [stmts -> .$, }]; [stmt -> .assign_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .jump_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .iteration_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [stmt -> .branch_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [assign_stmt -> .expression ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .continue ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .break ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [jump_stmt -> .return isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .while ( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .for ( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [iteration_stmt -> .do block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .if ( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [branch_stmt -> .switch ( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(30, $)	{[stmts -> $., }]}	37	{[stmts -> $., }]}
goto(30, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, jump_stmt)	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	39	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, iteration_stmt)	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	40	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, branch_stmt)	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	41	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, expression)	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	42	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, continue)	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	43	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, break)	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	44	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, return)	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	45	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [isnull_expr -> .expression, ;]; [isnull_expr -> .$, ;]; [expression -> .value operation, ;]; [value -> .item value', $/>/>=/ .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(30, while)	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	46	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, for)	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	47	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, do)	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	48	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [block_stmt -> .{ stmts }, while]}
goto(30, if)	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	49	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, switch)	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	50	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, value)	{[expression -> value.operation, ;]}	51	{[expression -> value.operation, ;]; [operation -> .compare_op value, ;]; [operation -> .equal_op value, ;]; [operation -> .$, ;]; [compare_op -> .>, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .>=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .<=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .==, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [compare_op -> .!=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .+=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .-=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .*=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> ./=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]; [equal_op -> .%=, (/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(30, item)	{[value -> item.value', $/>/>=/	52	{[value -> item.value', $/>/>=/ .+ item value', $/>/>=/ .- item value', $/>/>=/ .$, $/>/>=/
goto(30, factor)	{[item -> factor.item', +/-/$]}	53	{[item -> factor.item', +/-/$]; [item' -> .* factor item', +/-/$]; [item' -> ./ factor item', +/-/$]; [item' -> .% factor item', +/-/$]; [item' -> .$, +/-/$]}
goto(30, ()	{[factor -> (.value ), *///%/$]}	54	{[factor -> (.value ), *///%/$]; [value -> .item value', )]; [item -> .factor item', +/-/$]; [factor -> .( value ), *///%/$]; [factor -> .id call_function, *///%/$]; [factor -> .const, *///%/$]; [const -> .num_const, *///%/$]; [const -> .FLOAT, *///%/$]; [const -> .CHAR, *///%/$]; [const -> .STR, *///%/$]; [num_const -> .INT10, *///%/$]; [num_const -> .INT8, *///%/$]; [num_const -> .INT16, *///%/$]}
goto(30, id)	{[factor -> id.call_function, *///%/$]}	55	{[factor -> id.call_function, *///%/$]; [call_function -> .( es ), *///%/$]; [call_function -> .$, *///%/$]}
goto(30, const)	{[factor -> const., *///%/$]}	56	{[factor -> const., *///%/$]}
goto(30, num_const)	{[const -> num_const., *///%/$]}	57	{[const -> num_const., *///%/$]}
goto(30, FLOAT)	{[const -> FLOAT., *///%/$]}	58	{[const -> FLOAT., *///%/$]}
goto(30, CHAR)	{[const -> CHAR., *///%/$]}	59	{[const -> CHAR., *///%/$]}
goto(30, STR)	{[const -> STR., *///%/$]}	60	{[const -> STR., *///%/$]}
goto(30, INT10)	{[num_const -> INT10., *///%/$]}	61	{[num_const -> INT10., *///%/$]}
goto(30, INT8)	{[num_const -> INT8., *///%/$]}	62	{[num_const -> INT8., *///%/$]}
goto(30, INT16)	{[num_const -> INT16., *///%/$]}	63	{[num_const -> INT16., *///%/$]}
goto(31, define_stmts)	{[define_stmts -> define_stmt define_stmts., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	64	{[define_stmts -> define_stmt define_stmts., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
goto(31, define_stmt)	{[define_stmts -> define_stmt.define_stmts, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	31	 
goto(31, $)	{[define_stmts -> $., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	32	 
goto(31, type)	{[define_stmt -> type.id init vars ;, $/int/short/long/char/float/double/void/unsigned]}	33	 
goto(31, int)	{[type -> int., id]}	3	 
goto(31, short)	{[type -> short., id]}	4	 
goto(31, long)	{[type -> long., id]}	5	 
goto(31, char)	{[type -> char., id]}	6	 
goto(31, float)	{[type -> float., id]}	7	 
goto(31, double)	{[type -> double., id]}	8	 
goto(31, void)	{[type -> void., id]}	9	 
goto(31, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(33, id)	{[define_stmt -> type id.init vars ;, $/int/short/long/char/float/double/void/unsigned]}	65	{[define_stmt -> type id.init vars ;, $/int/short/long/char/float/double/void/unsigned]; [init -> .= expression, ,/$]; [init -> .$, ,/$]}
goto(34, id)	{[arg -> , type id.arg, )]}	66	{[arg -> , type id.arg, )]; [arg -> ., type id arg, )]; [arg -> .$, )]}
goto(35, })	{[block -> { define_stmts stmts }., $/int/short/long/char/float/double/void/unsigned]}	67	{[block -> { define_stmts stmts }., $/int/short/long/char/float/double/void/unsigned]}
goto(36, stmts)	{[stmts -> stmt stmts., }]}	68	{[stmts -> stmt stmts., }]}
goto(36, stmt)	{[stmts -> stmt.stmts, }]}	36	 
goto(36, $)	{[stmts -> $., }]}	37	 
goto(36, assign_stmt)	{[stmt -> assign_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	38	 
goto(36, jump_stmt)	{[stmt -> jump_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	39	 
goto(36, iteration_stmt)	{[stmt -> iteration_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	40	 
goto(36, branch_stmt)	{[stmt -> branch_stmt., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	41	 
goto(36, expression)	{[assign_stmt -> expression.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	42	 
goto(36, continue)	{[jump_stmt -> continue.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	43	 
goto(36, break)	{[jump_stmt -> break.;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	44	 
goto(36, return)	{[jump_stmt -> return.isnull_expr ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	45	 
goto(36, while)	{[iteration_stmt -> while.( logical_expression ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	46	 
goto(36, for)	{[iteration_stmt -> for.( isnull_expr ; isnull_expr ; isnull_expr ) block_stmt, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	47	 
goto(36, do)	{[iteration_stmt -> do.block_stmt while ( logical_expression ) ;, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	48	 
goto(36, if)	{[branch_stmt -> if.( logical_expression ) block_stmt result, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	49	 
goto(36, switch)	{[branch_stmt -> switch.( id ) { case_stmt case_stmts default_stmt }, $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	50	 
goto(36, value)	{[expression -> value.operation, ;]}	51	 
goto(36, item)	{[value -> item.value', $/>/>=/	52	 
goto(36, factor)	{[item -> factor.item', +/-/$]}	53	 
goto(36, ()	{[factor -> (.value ), *///%/$]}	54	 
goto(36, id)	{[factor -> id.call_function, *///%/$]}	55	 
goto(36, const)	{[factor -> const., *///%/$]}	56	 
goto(36, num_const)	{[const -> num_const., *///%/$]}	57	 
goto(36, FLOAT)	{[const -> FLOAT., *///%/$]}	58	 
goto(36, CHAR)	{[const -> CHAR., *///%/$]}	59	 
goto(36, STR)	{[const -> STR., *///%/$]}	60	 
goto(36, INT10)	{[num_const -> INT10., *///%/$]}	61	 
goto(36, INT8)	{[num_const -> INT8., *///%/$]}	62	 
goto(36, INT16)	{[num_const -> INT16., *///%/$]}	63	 
goto(42, ;)	{[assign_stmt -> expression ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}	69	{[assign_stmt -> expression ;., $/continue/break/return/while/for/do/if/switch/(/id/FLOAT/CHAR/STR/INT10/INT8/INT16]}
